Id,SignUpDate,Cost,SponsorshipTarget,RunnerId,CharityId,RaceKitOptionId,SignUpStatusId
4,2011-11-06 04:33:36.0000000,0.00,1000.00,140,13,A,4
5,2011-10-06 23:45:36.0000000,0.00,500.00,130,11,A,4
8,2011-05-04 21:07:12.0000000,0.00,50.00,188,13,A,4
12,2011-01-06 01:12:00.0000000,18.00,50.00,159,13,C,4
13,2011-11-07 12:43:12.0000000,18.00,500.00,123,12,C,4
14,2011-09-04 16:04:48.0000000,0.00,50.00,103,12,A,4
16,2011-06-04 03:07:12.0000000,18.00,250.00,199,12,C,4
18,2011-08-04 14:52:48.0000000,12.00,100.00,182,11,B,3
19,2011-06-05 10:04:48.0000000,12.00,100.00,197,11,B,3
23,2011-12-05 17:02:24.0000000,12.00,500.00,172,13,B,4
24,2011-05-07 14:24:00.0000000,0.00,50.00,189,11,A,4
25,2011-02-05 18:57:36.0000000,0.00,200.00,148,13,A,4
26,2011-02-08 14:38:24.0000000,12.00,100.00,160,12,B,4
29,2011-09-07 01:12:00.0000000,12.00,50.00,120,11,B,4
33,2011-02-06 01:12:00.0000000,12.00,1000.00,210,11,B,4
35,2011-02-04 15:07:12.0000000,0.00,30.00,226,13,A,4
36,2011-07-04 10:04:48.0000000,18.00,1000.00,170,11,C,4
40,2011-02-07 08:52:48.0000000,0.00,100.00,177,11,A,4
47,2011-02-07 20:24:00.0000000,18.00,50.00,237,13,C,4
49,2011-12-04 16:33:36.0000000,18.00,20.00,169,11,C,4
53,2011-10-05 22:48:00.0000000,0.00,500.00,202,12,A,4
55,2011-04-05 12:28:48.0000000,0.00,1000.00,107,13,A,4
58,2011-10-07 14:38:24.0000000,0.00,150.00,133,11,A,4
64,2011-07-08 02:24:00.0000000,0.00,50.00,131,13,A,4
65,2011-07-08 10:48:00.0000000,12.00,100.00,175,11,B,4
66,2011-02-08 22:19:12.0000000,18.00,30.00,100,13,C,4
69,2011-11-05 17:31:12.0000000,12.00,100.00,114,11,B,4
71,2011-01-05 03:21:36.0000000,0.00,30.00,229,13,A,4
75,2011-10-04 09:07:12.0000000,0.00,25.00,137,13,A,4
