Id,BibNumber,RaceTime,EventId,SignUpId
1,1,3199,11_1FR,2
2,2,1817,11_1FR,12
3,1,10436,11_1HM,12
4,2,5629,11_1HM,15
5,3,2971,11_1FR,15
6,3,5491,11_1HM,27
7,4,,11_1HM,46
8,1,13508,11_1FM,58
9,4,2179,11_1FR,58
10,5,6856,11_1HM,69
11,6,8175,11_1HM,71
12,5,2178,11_1FR,76
13,7,4492,11_1HM,76
14,6,2441,11_1FR,82
15,2,25148,11_1FM,87
16,8,6758,11_1HM,111
17,3,14529,11_1FM,125
18,4,12147,11_1FM,127
19,7,,11_1FR,134
20,5,21589,11_1FM,144
21,8,2112,11_1FR,144
22,9,2676,11_1FR,148
23,6,8117,11_1FM,151
24,10,2067,11_1FR,31
25,7,22765,11_1FM,33
26,8,8509,11_1FM,38
27,9,20631,11_1FM,39
28,10,11731,11_1FM,52
29,11,2014,11_1FR,55
30,11,10778,11_1FM,61
31,12,3820,11_1FR,61
32,12,20441,11_1FM,97
33,9,,11_1HM,99
34,13,10511,11_1FM,106
35,13,2549,11_1FR,106
36,10,7572,11_1HM,114
37,14,2215,11_1FR,147
38,11,4348,11_1HM,147
39,12,5346,11_1HM,6
40,13,7992,11_1HM,30
41,15,2316,11_1FR,30
42,14,10696,11_1HM,41
43,15,7785,11_1HM,83
44,16,1049,11_1FR,83
45,16,7472,11_1HM,86
46,17,1967,11_1FR,86
47,17,9055,11_1HM,90
48,18,2802,11_1FR,90
49,18,,11_1HM,110
50,19,2592,11_1FR,137
51,20,2180,11_1FR,4
52,19,8235,11_1HM,5
53,21,2465,11_1FR,8
54,14,,11_1FM,10
55,22,3466,11_1FR,17
56,23,2954,11_1FR,21
57,20,7197,11_1HM,21
58,21,7543,11_1HM,23
59,24,3499,11_1FR,24
60,22,9233,11_1HM,24
61,15,24799,11_1FM,34
62,25,3421,11_1FR,34
63,26,3071,11_1FR,47
64,23,10329,11_1HM,47
65,16,24245,11_1FM,51
66,24,9571,11_1HM,89
67,27,3674,11_1FR,89
68,25,8072,11_1HM,108
69,17,16099,11_1FM,129
70,18,15503,11_1FM,145
71,28,2478,11_1FR,145
72,29,2228,11_1FR,9
73,19,19218,11_1FM,13
74,20,25200,11_1FM,22
75,30,2796,11_1FR,22
76,26,9357,11_1HM,42
77,27,6091,11_1HM,57
78,31,1986,11_1FR,70
79,28,5963,11_1HM,70
80,29,6599,11_1HM,75
81,32,3457,11_1FR,75
82,21,18578,11_1FM,88
83,33,3388,11_1FR,88
84,34,2620,11_1FR,96
85,22,17572,11_1FM,105
86,30,6763,11_1HM,37
87,31,8135,11_1HM,40
88,35,1912,11_1FR,40
89,32,6692,11_1HM,80
90,36,2795,11_1FR,80
91,33,6059,11_1HM,92
92,34,9213,11_1HM,93
93,37,3581,11_1FR,98
94,23,22430,11_1FM,102
95,24,,11_1FM,121
96,38,0,11_1FR,121
97,39,3589,11_1FR,139
98,35,6921,11_1HM,139
99,40,3143,11_1FR,149
100,36,7824,11_1HM,56
101,41,,11_1FR,63
102,37,0,11_1HM,63
103,42,2443,11_1FR,67
104,38,,11_1HM,79
105,43,2686,11_1FR,81
106,39,5741,11_1HM,124
107,44,2975,11_1FR,124
108,25,17222,11_1FM,126
109,45,1407,11_1FR,126
110,26,12994,11_1FM,128
111,46,3631,11_1FR,128
112,27,16831,11_1FM,130
113,47,2215,11_1FR,130
114,40,,11_1HM,150
115,48,0,11_1FR,150
116,49,3007,11_1FR,7
117,28,,11_1FM,18
118,29,10976,11_1FM,25
119,41,10018,11_1HM,26
120,50,3619,11_1FR,26
121,30,12676,11_1FM,35
122,31,,11_1FM,50
123,51,3581,11_1FR,78
124,32,12899,11_1FM,103
125,33,14943,11_1FM,104
126,34,19577,11_1FM,109
127,52,2265,11_1FR,115
128,42,9751,11_1HM,131
129,53,3533,11_1FR,141
130,54,2885,11_1FR,11
131,43,10217,11_1HM,11
132,55,1914,11_1FR,20
133,35,21029,11_1FM,28
134,44,6541,11_1HM,43
135,56,1648,11_1FR,43
136,45,6007,11_1HM,44
137,46,5043,11_1HM,53
138,47,8910,11_1HM,72
139,36,14753,11_1FM,94
140,57,2785,11_1FR,94
141,58,2875,11_1FR,120
142,37,19832,11_1FM,122
143,59,3564,11_1FR,140
144,60,2912,11_1FR,16
145,61,1995,11_1FR,32
146,38,15328,11_1FM,36
147,62,2262,11_1FR,48
148,63,1906,11_1FR,60
149,48,7134,11_1HM,60
150,64,2493,11_1FR,64
151,49,4564,11_1HM,85
152,65,3772,11_1FR,85
153,50,8602,11_1HM,107
154,66,3419,11_1FR,107
155,51,8357,11_1HM,113
156,67,1901,11_1FR,117
157,52,4722,11_1HM,117
158,68,2254,11_1FR,118
159,53,9669,11_1HM,133
160,69,4104,11_1FR,133
161,39,11960,11_1FM,135
162,70,2640,11_1FR,135
163,71,3027,11_1FR,138
164,54,9174,11_1HM,138
165,55,10732,11_1HM,142
166,56,6088,11_1HM,146
167,72,2010,11_1FR,1
168,40,10322,11_1FM,45
169,41,9761,11_1FM,49
170,57,,11_1HM,59
171,73,0,11_1FR,59
172,58,9026,11_1HM,66
173,74,2269,11_1FR,77
174,42,25168,11_1FM,91
175,75,3280,11_1FR,112
176,59,3659,11_1HM,112
177,76,2945,11_1FR,14
178,43,13714,11_1FM,29
179,60,8264,11_1HM,54
180,77,,11_1FR,62
181,44,13605,11_1FM,65
182,78,1865,11_1FR,65
183,79,2649,11_1FR,84
184,61,6354,11_1HM,84
185,80,3152,11_1FR,116
186,45,11007,11_1FM,119
187,46,20988,11_1FM,132
188,81,2449,11_1FR,132
189,62,5582,11_1HM,143
190,82,1179,11_1FR,143
191,47,15110,11_1FM,3
192,48,,11_1FM,19
193,83,1900,11_1FR,68
194,84,3351,11_1FR,73
195,49,24420,11_1FM,74
196,50,12502,11_1FM,95
197,85,,11_1FR,100
198,86,3269,11_1FR,101
199,63,4791,11_1HM,123
200,64,6296,11_1HM,136
201,1,10040,12_2FR,218
202,2,5573,12_2FR,228
203,1,11633,12_2HM,228
204,3,10446,12_2FR,481
205,2,4833,12_2HM,481
206,3,20615,12_2HM,514
207,4,23846,12_2HM,585
208,4,,12_2FR,605
209,5,5918,12_2FR,628
210,5,23812,12_2HM,179
211,6,3461,12_2FR,179
212,7,8787,12_2FR,199
213,6,16381,12_2HM,203
214,7,18291,12_2HM,314
215,8,8320,12_2FR,475
216,9,,12_2FR,553
217,10,,12_2FR,571
218,8,19215,12_2HM,599
219,11,9210,12_2FR,198
220,12,,12_2FR,249
